,pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,game_type,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,inning,vx0,vy0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis,delta_home_win_exp,delta_run_exp
999,FF,92.9,-1.08,5.66,"Bieber, Shane",5.0,F,R,R,X,2,2,-0.72,1.47,0.03,2.05,5,4.442760012603316,-135.18985106650985,-9.728698895803122,28.24532983910829,-12.907435586473436,3.23,1.52,93.7,2403.0,6.7,53.84,42,6,4-Seam Fastball,215.0,-0.102,1.896
1000,FF,93.0,-1.06,5.64,"Bieber, Shane",6.0,F,R,R,S,2,2,-0.77,1.52,0.42,2.7,5,5.544991562583999,-135.30869118404036,-10.682414812376512,29.408763755431167,-12.50880885805812,3.23,1.52,93.8,2452.0,6.7,53.76,42,5,4-Seam Fastball,213.0,0.0,0.0
1001,KC,83.7,-1.23,5.64,"Bieber, Shane",13.0,F,R,R,B,1,2,0.57,-1.17,-0.18,0.89,5,1.3076884304576162,-121.90316147822456,5.430850847039841,25.263267786088424,-43.534884912964365,3.33,1.54,84.0,2441.0,6.6,53.92,42,4,Knuckle Curve,30.0,0.0,0.039
1002,KC,84.4,-1.21,5.65,"Bieber, Shane",14.0,F,R,R,B,0,2,0.9,-1.04,1.24,1.43,5,3.9267635325765617,-122.89998781944244,8.270318734057339,25.13826660974201,-42.584199731538895,3.39,1.58,84.5,2385.0,6.4,54.08,42,3,Knuckle Curve,30.0,0.0,0.018
1003,FF,93.2,-1.15,5.61,"Bieber, Shane",9.0,F,R,R,S,0,1,-0.72,1.45,0.34,2.06,5,5.463885610469629,-135.4838751037553,-10.077276858716443,28.800972618216655,-13.019000057462112,3.33,1.59,94.2,2380.0,6.9,53.65,42,2,4-Seam Fastball,211.0,0.0,-0.053
1004,FF,93.1,-1.14,5.66,"Bieber, Shane",5.0,F,R,R,S,0,0,-0.83,1.41,0.26,2.66,5,5.47525406023662,-135.47860726915712,-11.38549343995599,29.25169877442995,-13.846544776922409,3.4,1.56,93.9,2436.0,6.7,53.78,42,1,4-Seam Fastball,212.0,0.0,-0.0409999999999999
1005,KC,83.4,-1.21,5.68,"Bieber, Shane",13.0,F,R,R,X,1,2,0.79,-1.05,-0.45,1.22,5,0.2067880016805915,-121.4746406819978,7.728048303776188,24.130392274801693,-42.40750308370579,3.37,1.59,84.2,2308.0,6.8,53.7,41,4,Knuckle Curve,31.0,-0.0069999999999999,0.172
1006,KC,84.0,-1.27,5.71,"Bieber, Shane",4.0,F,R,R,S,1,1,0.73,-1.26,-0.44,2.39,5,0.466319302796827,-122.26877341939417,7.220553877124597,25.01362907959104,-45.28627443250293,3.37,1.59,84.2,2369.0,6.5,53.99,41,3,Knuckle Curve,30.0,0.0,-0.0289999999999999
1007,KC,84.6,-1.2,5.73,"Bieber, Shane",14.0,F,R,R,B,0,1,0.88,-1.23,1.06,0.96,5,3.560591574257709,-123.17453437893828,8.111512339862482,26.34512064183585,-44.33859776050726,3.6,1.7,84.9,2658.0,6.6,53.88,41,2,Knuckle Curve,25.0,0.0,0.013
1008,KC,84.4,-1.31,5.72,"Bieber, Shane",14.0,F,R,R,S,0,0,0.85,-1.34,0.95,1.32,5,3.5813108204332376,-122.82843971560403,7.797258628744434,26.81967451555121,-45.57301863029932,3.37,1.59,84.4,2498.0,6.5,53.95,41,1,Knuckle Curve,30.0,0.0,-0.017
1009,FF,92.9,-1.05,5.61,"Bieber, Shane",8.0,F,R,R,S,2,2,-0.69,1.58,-0.08,1.9,5,4.042862515780895,-135.18651641203604,-9.354198964856538,28.60227321142602,-11.371066029804515,3.86,1.93,94.1,2300.0,6.9,53.59,40,5,4-Seam Fastball,211.0,0.009,-0.148
1010,KC,83.5,-1.19,5.71,"Bieber, Shane",7.0,F,R,R,S,2,1,0.86,-1.18,-0.45,2.13,5,0.0006622312457141,-121.62197365609816,8.478522707733616,25.04515210559737,-44.13195292747518,3.89,1.96,83.7,2294.0,6.5,53.99,40,4,Knuckle Curve,30.0,0.0,-0.047
1011,FC,88.2,-1.33,5.66,"Bieber, Shane",8.0,F,R,R,S,2,0,0.09,0.76,-0.11,1.77,5,2.8173895440104224,-128.46727309854137,0.4770475816861136,22.79045647844859,-22.89196097151431,3.74,1.78,89.3,2412.0,6.6,53.9,40,3,Cutter,199.0,0.0,-0.039
1012,FF,93.2,-1.21,5.73,"Bieber, Shane",11.0,F,R,R,B,1,0,-0.61,1.59,-1.31,3.76,5,1.1123597849244575,-135.76117722907648,-7.832347827569714,29.734567467990143,-12.084351109575042,3.93,1.97,93.9,2211.0,6.7,53.85,40,2,4-Seam Fastball,208.0,0.0,0.04
1013,FF,93.1,-1.25,5.75,"Bieber, Shane",11.0,F,R,R,B,0,0,-0.82,1.55,-1.2,4.34,5,1.9564242084382029,-135.63814089127618,-10.501916341389355,29.947709358267712,-12.993738396694493,4.0,1.98,93.8,2196.0,6.7,53.83,40,1,4-Seam Fastball,213.0,0.0,0.027
1014,KC,83.5,-1.2,5.71,"Bieber, Shane",1.0,F,R,R,X,1,1,0.77,-1.2,-0.5,3.1,5,0.076302343180007,-121.60723065141232,7.674266933485279,23.352907874652768,-44.88684017814167,3.47,1.66,84.0,2287.0,6.5,54.0,39,3,Knuckle Curve,36.0,0.011,-0.241
1015,FF,92.6,-1.03,5.74,"Bieber, Shane",3.0,F,R,R,S,1,0,-0.57,1.57,0.55,3.13,5,5.330307460959801,-134.7790254421307,-8.089896472740028,27.12149152186968,-12.21136978160234,3.47,1.66,93.5,2324.0,6.7,53.84,39,2,4-Seam Fastball,212.0,0.0,-0.05
1016,FF,91.8,-1.06,5.7,"Bieber, Shane",11.0,F,R,R,B,0,0,-0.6,1.58,-0.02,3.84,5,3.972185692337439,-133.69791287737806,-7.975780914212687,26.75046657760241,-12.900670654701994,3.6,1.72,92.9,2297.0,6.7,53.76,39,1,4-Seam Fastball,211.0,0.0,0.0409999999999999
