,pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,game_type,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,inning,vx0,vy0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis,delta_home_win_exp,delta_run_exp
9175,SL,92.8,-1.03,5.53,"deGrom, Jacob",9.0,R,L,R,S,2,2,0.5,0.27,0.76,1.92,5,3.542408557383125,-135.1834386418734,5.376726218668566,28.70436419554107,-28.234452691241657,3.29,1.49,94.2,2603.0,7.0,53.51,43,10,Slider,162.0,-0.064,-0.263
9176,FF,99.3,-1.06,5.46,"deGrom, Jacob",2.0,R,L,R,S,2,2,-0.74,1.43,0.18,2.94,5,5.210125896224755,-144.56572501077636,-11.593190733296735,33.16235605510105,-11.130855277521244,3.29,1.49,100.8,2570.0,7.0,53.47,43,9,4-Seam Fastball,228.0,0.0,0.0
9177,CH,92.2,-1.01,5.39,"deGrom, Jacob",11.0,R,L,R,S,2,2,-1.17,0.73,-1.01,2.4,5,2.572459153017152,-134.27049198627597,-14.67087247571848,28.03237197614,-22.79685087128633,3.29,1.49,93.7,1480.0,7.0,53.48,43,8,Changeup,231.0,0.0,0.0
9178,CH,89.8,-0.93,5.45,"deGrom, Jacob",11.0,R,L,R,B,1,2,-1.23,0.59,-1.57,3.69,5,1.043219943814391,-130.80845394368234,-14.37295288876534,26.693043993578176,-25.67901102192237,2.9,1.22,91.2,1468.0,7.0,53.49,43,7,Changeup,230.0,0.0,0.0139999999999999
9179,CH,91.8,-0.97,5.37,"deGrom, Jacob",7.0,R,L,R,S,1,2,-0.96,0.73,-0.65,1.77,5,2.9308626299169247,-133.637327188712,-12.1889997548117,29.45026599321996,-22.634885435906806,3.29,1.49,92.9,1519.0,7.0,53.52,43,6,Changeup,234.0,0.0,0.0
9180,SL,89.8,-1.03,5.52,"deGrom, Jacob",14.0,R,L,R,S,1,2,0.28,0.57,1.05,1.73,5,4.609223474301672,-130.8413838809031,2.421379851098032,24.812152399742388,-24.87230018781212,3.29,1.49,91.3,2618.0,6.9,53.61,43,5,Slider,147.0,0.0,0.0
9181,FF,98.8,-1.03,5.46,"deGrom, Jacob",11.0,R,L,R,B,0,2,-0.81,1.24,-0.91,3.93,5,2.238005790778564,-143.85710329887658,-11.74032585476783,34.976825321167595,-14.834461586974372,2.95,1.33,99.8,2557.0,6.9,53.56,43,4,4-Seam Fastball,215.0,0.0,0.044
9182,SL,91.8,-0.94,5.56,"deGrom, Jacob",14.0,R,L,R,S,0,2,0.53,0.28,1.05,2.14,5,3.9335737213182,-133.7724975566717,5.588136766195105,27.90971198210265,-28.21707535653504,3.29,1.49,93.2,2446.0,7.0,53.54,43,3,Slider,143.0,0.0,0.0
9183,SL,91.0,-0.81,5.5,"deGrom, Jacob",6.0,R,L,R,S,0,1,0.4,0.57,0.58,2.57,5,2.639168312366745,-132.5238242796998,4.183749334143213,27.967007235205788,-25.11144471776541,3.29,1.49,91.9,2621.0,6.8,53.72,43,2,Slider,136.0,0.023,-0.053
9184,SL,92.3,-0.97,5.5,"deGrom, Jacob",6.0,R,L,R,S,0,0,0.23,0.41,0.73,2.19,5,3.87352496198168,-134.47313384203878,1.951780542535364,28.17695033247441,-26.65314828808815,3.29,1.49,93.8,2632.0,7.0,53.49,43,1,Slider,155.0,0.0,-0.0409999999999999
9185,FF,99.2,-0.98,5.44,"deGrom, Jacob",11.0,R,L,R,B,3,2,-0.8,1.44,-1.75,3.6,5,-0.2256498281070784,-144.40584486877944,-11.108820878137918,34.70081648570433,-11.59551951382168,2.77,1.44,100.5,2594.0,7.0,53.46,42,6,4-Seam Fastball,211.0,0.021,0.1159999999999999
9186,SL,94.3,-0.97,5.53,"deGrom, Jacob",3.0,R,L,R,S,3,1,0.05,0.54,0.6,3.0,5,4.012351197832605,-137.3600032816547,-0.2351509036073565,29.37590991166741,-25.10487045156543,3.04,1.44,95.7,2578.0,7.0,53.54,42,5,Slider,159.0,0.0,-0.0409999999999999
9187,CH,94.2,-0.86,5.43,"deGrom, Jacob",14.0,R,L,R,B,2,1,-0.81,0.87,0.97,1.28,5,6.636715929774183,-136.96600350375792,-11.662563461454791,29.666136342943314,-19.88595553420032,2.97,1.46,95.5,1631.0,7.0,53.47,42,4,Changeup,229.0,0.0,0.047
9188,CH,93.7,-0.82,5.41,"deGrom, Jacob",14.0,R,L,R,B,1,1,-0.59,0.83,0.98,1.69,5,6.0488820813061,-136.2858919102268,-8.717017939555062,29.373084577997087,-20.71387414756225,2.99,1.45,95.0,1573.0,7.0,53.49,42,3,Changeup,224.0,0.0,0.021
9189,SL,92.8,-0.93,5.44,"deGrom, Jacob",14.0,R,L,R,B,0,1,0.29,0.36,0.98,1.54,5,4.3109019424661685,-135.23371645155606,2.7481183160774707,26.25136921740273,-26.867075434510216,3.03,1.55,94.6,2546.0,7.0,53.5,42,2,Slider,164.0,0.0,0.013
9190,SL,93.0,-1.06,5.52,"deGrom, Jacob",5.0,R,L,R,S,0,0,-0.01,0.42,0.26,2.46,5,3.4692505509703864,-135.53256614628364,-0.8297523217195358,27.14172994579113,-26.54069500971589,3.0,1.49,94.5,2540.0,6.9,53.59,42,1,Slider,158.0,0.0,-0.017
9191,SL,92.3,-1.02,5.56,"deGrom, Jacob",14.0,R,R,R,X,2,2,0.41,0.56,0.51,1.19,5,3.0423796137533805,-134.46227069092382,4.430700703707245,25.956971711543588,-24.18444447801656,3.34,1.66,93.9,2705.0,6.9,53.56,41,6,Slider,149.0,-0.0279999999999999,-0.148
9192,FF,98.2,-1.03,5.46,"deGrom, Jacob",3.0,R,R,R,S,2,2,-1.07,1.25,0.28,3.28,5,6.08908314046927,-142.90678310548574,-16.01407936382653,33.598044426889004,-14.5013638913006,3.34,1.66,99.3,2558.0,6.9,53.58,41,5,4-Seam Fastball,211.0,0.0,0.0
9193,FF,98.8,-0.87,5.49,"deGrom, Jacob",11.0,R,R,R,B,1,2,-1.02,1.2,-1.17,3.97,5,1.5902871961862497,-143.9392123740936,-14.553919164276609,35.66216569091691,-15.459161067419204,3.27,1.62,99.7,2560.0,6.9,53.64,41,4,4-Seam Fastball,209.0,0.0,0.03
9194,FF,97.5,-1.15,5.45,"deGrom, Jacob",1.0,R,R,R,S,1,1,-0.94,1.38,-0.78,3.33,5,3.2119373314889192,-141.91139719386518,-13.473766850793794,35.0022767848074,-12.985332286597414,3.34,1.66,98.5,2593.0,7.0,53.51,41,3,4-Seam Fastball,215.0,0.0,-0.044
9195,FF,98.1,-1.07,5.46,"deGrom, Jacob",14.0,R,R,R,B,0,1,-0.96,1.39,1.43,2.27,5,9.111929859858211,-142.40365638315703,-15.207820488616484,33.69356825077759,-11.979861579399197,3.33,1.67,99.2,2604.0,7.1,53.38,41,2,4-Seam Fastball,213.0,0.0,0.02
9196,FF,96.2,-1.1,5.41,"deGrom, Jacob",6.0,R,R,R,S,0,0,-0.66,1.44,0.56,2.77,5,5.989886334460497,-139.98935343440152,-10.08035630062436,31.53188855133513,-12.323397253857651,3.34,1.66,97.4,2404.0,6.9,53.56,41,1,4-Seam Fastball,214.0,0.0,-0.026
9197,FF,99.3,-1.02,5.39,"deGrom, Jacob",2.0,R,L,R,X,1,2,-0.61,1.44,-0.09,2.7,5,4.012903860994183,-144.53254218851362,-9.50980512575638,34.47180161354648,-10.966692321646054,3.03,1.36,100.5,2583.0,7.0,53.53,40,4,4-Seam Fastball,211.0,0.243,1.05
9198,SL,93.1,-1.07,5.46,"deGrom, Jacob",14.0,R,L,R,S,1,1,0.13,0.57,1.03,1.12,5,5.14700974190404,-135.53415234900956,0.5460791688034002,27.711018635242866,-23.960451914228067,3.03,1.36,94.3,2616.0,6.8,53.65,40,3,Slider,183.0,0.0,-0.044
9199,SL,93.3,-1.02,5.45,"deGrom, Jacob",14.0,R,L,R,B,0,1,0.08,0.61,1.12,0.98,5,5.399251003009923,-135.6532100161474,-0.1549834525416829,28.37761024816721,-23.343392769437735,2.97,1.33,94.5,2660.0,6.9,53.59,40,2,Slider,198.0,0.0,0.02
9200,SL,92.0,-1.06,5.46,"deGrom, Jacob",14.0,R,L,R,S,0,0,0.15,0.49,1.05,1.62,5,5.068949633288456,-133.85809082185477,0.7709931616988603,28.04988870130753,-25.37522084570625,3.03,1.36,93.2,2634.0,6.9,53.58,40,1,Slider,178.0,0.0,-0.026
9201,FF,97.7,-1.18,5.32,"deGrom, Jacob",14.0,R,R,R,S,0,2,-0.59,1.27,0.9,2.12,5,7.0534622972189815,-142.09454325052238,-9.5104446888161,31.254263219438982,-13.737862585274144,3.29,1.49,99.1,2475.0,7.0,53.49,39,3,4-Seam Fastball,218.0,-0.049,-0.153
9202,FF,97.1,-1.22,5.37,"deGrom, Jacob",9.0,R,R,R,S,0,1,-0.68,1.38,0.47,1.74,5,6.145139532900622,-141.1007647516649,-10.460687338780662,31.662553884874303,-12.183080381709766,3.33,1.51,98.4,2561.0,7.0,53.46,39,2,4-Seam Fastball,216.0,0.0,-0.0559999999999999
9203,FF,96.4,-1.06,5.46,"deGrom, Jacob",12.0,R,R,R,S,0,0,-0.43,1.29,1.01,2.64,5,6.555996417783796,-140.1861928942759,-7.106866143652312,30.549752045335204,-14.184577129553048,3.32,1.48,97.6,2419.0,6.9,53.55,39,1,4-Seam Fastball,214.0,0.0,-0.042
9220,FF,99.2,-0.76,5.41,"deGrom, Jacob",12.0,R,R,R,S,2,2,-0.69,1.43,0.87,2.71,4,6.152330496573104,-144.2512883174272,-11.006873014655415,33.802341433525875,-11.126013145023544,3.41,1.54,100.5,2490.0,7.0,53.45,34,8,4-Seam Fastball,220.0,-0.077,-0.372
9221,CH,92.9,-0.95,5.41,"deGrom, Jacob",8.0,R,R,R,S,2,2,-1.11,0.3,0.04,1.65,4,5.043849304864769,-135.13145338966092,-14.717305079269345,29.37734141007257,-27.719839641647,3.41,1.54,94.0,1634.0,7.0,53.54,34,7,Changeup,234.0,0.0,0.0
9222,SL,94.3,-0.93,5.44,"deGrom, Jacob",14.0,R,R,R,S,2,2,0.31,0.44,1.59,2.38,4,5.947038894390238,-137.34481736103288,2.7802720923369293,26.98203518303562,-26.02145609323927,3.41,1.54,96.0,2619.0,7.0,53.51,34,6,Slider,184.0,0.0,0.0
9223,CH,91.8,-0.81,5.44,"deGrom, Jacob",8.0,R,R,R,S,2,2,-1.08,0.25,-0.23,2.05,4,3.864745391145922,-133.65885112074477,-13.77183675819059,27.402949883768063,-28.63834615390364,3.41,1.54,93.4,1489.0,7.1,53.43,34,5,Changeup,228.0,0.0,0.0
9224,FF,98.6,-1.01,5.36,"deGrom, Jacob",3.0,R,R,R,S,2,1,-0.44,1.34,0.56,3.45,4,5.37962533151985,-143.6392119430662,-7.300108679693958,30.95967095188055,-13.01199974836384,3.41,1.54,100.3,2277.0,7.0,53.48,34,4,4-Seam Fastball,215.0,0.0,-0.113
9225,FF,97.8,-0.81,5.41,"deGrom, Jacob",12.0,R,R,R,B,1,1,-0.27,1.3,1.34,3.01,4,6.512744354926469,-142.30371056801025,-5.0882574315451645,30.739468729145923,-13.73059950596146,3.46,1.59,99.3,2271.0,7.0,53.48,34,3,4-Seam Fastball,213.0,0.0,0.059
9226,FF,99.1,-0.88,5.43,"deGrom, Jacob",12.0,R,R,R,B,0,1,-0.39,1.43,0.46,4.23,4,4.650687451355974,-144.31217916789214,-6.545922744197672,33.1899514716493,-12.039023160491883,3.47,1.58,100.6,2404.0,7.0,53.45,34,2,4-Seam Fastball,212.0,0.0,0.038
9227,SL,94.1,-0.91,5.46,"deGrom, Jacob",6.0,R,R,R,S,0,0,0.27,0.5,0.73,2.31,4,3.702106772325768,-137.1362658065091,2.758214467940942,27.23231483627449,-25.261226876883537,3.41,1.54,95.8,2429.0,7.0,53.52,34,1,Slider,163.0,0.0,-0.086
9228,CH,91.5,-0.87,5.48,"deGrom, Jacob",11.0,R,L,R,B,3,2,-1.04,0.05,-1.04,3.73,4,1.819015800723916,-133.44635478677998,-12.855499131608385,24.918491536156026,-31.95239511909733,3.02,1.56,93.4,1463.0,7.0,53.49,33,6,Changeup,235.0,0.016,0.144
9229,CH,93.7,-0.79,5.31,"deGrom, Jacob",14.0,R,L,R,B,2,2,-1.18,0.3,1.45,-0.39,4,8.52070028330084,-135.90275464505885,-16.481213326344847,28.62748285585653,-26.55593417350109,3.07,1.56,95.1,1543.0,7.2,53.33,33,5,Changeup,233.0,0.113,0.187
9230,CH,92.6,-0.94,5.35,"deGrom, Jacob",14.0,R,L,R,S,2,1,-1.14,0.11,0.22,0.91,4,5.567352490964665,-134.67453534135814,-15.088348789847169,28.82500308541029,-29.76435222002026,3.38,1.64,94.1,1610.0,7.2,53.34,33,4,Changeup,228.0,0.0,-0.138
9231,CH,93.3,-0.83,5.39,"deGrom, Jacob",14.0,R,L,R,B,1,1,-0.93,0.43,0.89,0.4,4,6.541613398475925,-135.5914272735831,-12.908996761724046,30.2883715145486,-25.27085860645921,3.39,1.66,94.4,1569.0,7.0,53.46,33,3,Changeup,234.0,0.0,0.043
9232,CH,91.8,-0.89,5.39,"deGrom, Jacob",7.0,R,L,R,S,1,0,-0.99,0.15,-0.46,2.03,4,3.2730971405210565,-133.66638631487393,-12.566107799571624,28.97591630108004,-29.9018489488677,3.38,1.64,93.1,1515.0,7.0,53.47,33,2,Changeup,230.0,0.0,-0.0819999999999999
9233,CH,90.8,-0.97,5.36,"deGrom, Jacob",11.0,R,L,R,B,0,0,-1.07,0.22,-1.32,3.09,4,1.4466348812331449,-132.18668430933894,-12.882271306032267,29.233055460132704,-29.77123802955069,3.37,1.63,92.0,1535.0,7.1,53.43,33,1,Changeup,240.0,0.0,0.074
9234,SL,93.6,-1.03,5.48,"deGrom, Jacob",9.0,R,R,R,X,0,1,0.32,0.63,0.46,1.65,4,3.142446034356364,-136.2667768961787,3.4083767415279174,28.11227895427106,-23.268386125997505,3.11,1.43,94.9,2570.0,6.9,53.62,32,2,Slider,175.0,0.038,0.349
9235,SL,91.5,-1.01,5.47,"deGrom, Jacob",6.0,R,R,R,S,0,0,0.51,0.4,0.71,2.03,4,3.266135881460184,-133.36113147078763,5.563150402751947,25.68591280221478,-26.816353527637528,3.12,1.36,93.0,2568.0,6.9,53.63,32,1,Slider,140.0,0.0,-0.0409999999999999
9236,CU,85.0,-1.11,5.45,"deGrom, Jacob",13.0,R,L,R,X,2,2,0.77,-0.43,-0.35,1.29,4,0.245870358187699,-123.89486427572604,7.871920723961111,23.604050421786518,-36.30549004679399,3.18,1.54,86.0,2735.0,6.7,53.76,31,5,Curveball,82.0,0.02,0.154
9237,CH,94.3,-0.79,5.4,"deGrom, Jacob",13.0,R,L,R,B,1,2,-0.81,0.61,-0.39,0.84,4,2.905742486333424,-137.1958045952103,-10.870514889414505,27.45833487409401,-23.115206030072688,3.17,1.37,96.0,1597.0,7.1,53.42,31,4,Changeup,233.0,0.0,0.018
