last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Pujols, Albert,405395,2019,.247,.422,.315,.310,.175,88.3,12.5,5.8,
Cabrera, Miguel,408234,2019,.266,.433,.328,.334,.167,90.4,12.3,6.7,
Choo, Shin-Soo,425783,2019,.262,.476,.362,.369,.214,91.9,9.1,9,
Jones, Adam,430945,2019,.256,.430,.318,.311,.174,86.1,13.4,6.7,
Cruz Jr., Nelson,443558,2019,.290,.638,.416,.378,.348,93.7,13.1,19.9,
Longoria, Evan,446334,2019,.269,.491,.351,.340,.222,89.7,14,7.5,
Fowler, Dexter,451594,2019,.247,.417,.336,.354,.170,85.5,13.1,7.4,
Cabrera, Asdrubal,452678,2019,.237,.407,.317,.326,.170,89.1,14.4,5.7,
Blackmon, Charlie,453568,2019,.297,.531,.370,.350,.234,88.7,14.6,8.3,
Cain, Lorenzo,456715,2019,.283,.408,.330,.346,.125,89.5,6.9,4.1,
Turner, Justin,457759,2019,.283,.510,.374,.368,.227,90.3,17.8,7.8,
Votto, Joey,458015,2019,.254,.437,.342,.353,.183,88.9,15.2,6.9,
Gardner, Brett,458731,2019,.229,.360,.293,.307,.131,87.7,13.9,3.9,
Braun, Ryan,460075,2019,.263,.465,.336,.324,.201,91.5,7.3,9.5,
Gordon, Alex,460086,2019,.252,.415,.326,.335,.163,88.7,9.3,5.4,
Andrus, Elvis,462101,2019,.269,.397,.309,.313,.128,88.4,7.2,3.5,
Ramos, Wilson,467092,2019,.262,.398,.314,.328,.136,90,-0.2,4.7,
Santana, Carlos,467793,2019,.265,.478,.365,.383,.213,91.8,11.7,9.6,
Belt, Brandon,474832,2019,.241,.455,.345,.348,.214,87.3,22.4,8.7,
Brantley Jr., Michael,488726,2019,.286,.462,.350,.352,.176,88.8,10.6,5.5,
Gurriel, Yuli,493329,2019,.275,.407,.315,.323,.132,89.3,14.3,3.6,
Rojas, Miguel,500743,2019,.271,.370,.303,.322,.099,87.4,9.1,2.6,
Escobar, Eduardo,500871,2019,.254,.464,.326,.310,.209,87.8,18.4,7,
Davis, Khris,501981,2019,.225,.426,.311,.299,.201,90.2,13.2,9.8,
Pham, Tommy,502054,2019,.274,.460,.357,.370,.186,90.9,5.2,7.9,
Martinez, J.D.,502110,2019,.295,.554,.388,.377,.259,91.3,12.5,11.5,
Reddick, Josh,502210,2019,.268,.388,.308,.316,.120,86.1,15.8,3.4,
Goldschmidt, Paul,502671,2019,.253,.503,.355,.341,.249,90.2,15.5,11.3,
Altuve, Jose,514888,2019,.260,.469,.335,.319,.210,87.4,9.7,8.1,
Hernandez, Cesar,514917,2019,.261,.370,.299,.316,.110,86.1,9.5,2.7,
Segura, Jean,516416,2019,.269,.400,.309,.313,.131,88.2,7.2,3.2,
Castro, Starlin,516770,2019,.265,.432,.311,.299,.166,88.5,11,6.2,
Marte, Starling,516782,2019,.289,.494,.353,.338,.205,88.6,8.2,8,
Donaldson, Josh,518626,2019,.262,.530,.385,.383,.268,92.9,13.3,15.7,
Freeman, Freddie,518692,2019,.290,.563,.393,.385,.273,89.7,14.4,12.3,
Grandal, Yasmani,518735,2019,.238,.469,.362,.375,.232,90.7,14.2,11.3,
Heyward, Jason,518792,2019,.253,.392,.320,.345,.139,88.8,11.3,5.7,
LeMahieu, DJ,518934,2019,.309,.514,.370,.359,.205,91.9,6.5,7.5,
Moustakas, Mike,519058,2019,.258,.500,.349,.333,.242,89.5,17.4,10.3,
Rizzo, Anthony,519203,2019,.295,.485,.386,.409,.190,89,12.6,6.8,
Galvis, Freddy,520471,2019,.235,.385,.281,.272,.151,88.8,14.8,5.8,
Garcia, Avisail,541645,2019,.271,.492,.343,.323,.221,89.5,9.8,11.7,
Ozuna, Marcell,542303,2019,.280,.528,.374,.362,.248,91.8,13.4,12.1,
Villar, Jonathan,542340,2019,.244,.408,.313,.313,.164,88.9,8.2,6.8,
Santana, Danny,542454,2019,.277,.504,.345,.320,.226,91.4,13.5,9.5,
Crawford, Brandon,543063,2019,.236,.393,.304,.312,.156,87.8,8.2,5.4,
Hosmer, Eric,543333,2019,.249,.411,.304,.297,.162,90.8,2.1,7.2,
Kipnis, Jason,543401,2019,.253,.414,.313,.315,.161,88.1,14.1,5.5,
Rendon, Anthony,543685,2019,.310,.590,.414,.407,.280,90.4,19.5,12,
Semien, Marcus,543760,2019,.261,.479,.352,.349,.218,88.9,15.1,8.5,
Springer III, George,543807,2019,.276,.564,.391,.371,.288,89.8,10.5,14.1,
Vazquez, Christian,543877,2019,.244,.430,.305,.292,.186,89.4,13.3,5.9,
Wong, Kolten,543939,2019,.233,.339,.288,.316,.106,86.2,12.8,2.2,
Garcia, Leury,544725,2019,.242,.351,.272,.275,.109,88.2,6.2,3.8,
Grichuk, Randal,545341,2019,.236,.429,.304,.286,.193,89.3,16,8.5,
Trout, Mike,545361,2019,.307,.672,.456,.452,.365,90.9,22.2,18.9,
Harper, Bryce,547180,2019,.271,.543,.384,.382,.272,91.9,13.7,14.8,
Abreu, Jose,547989,2019,.277,.514,.357,.331,.236,92.1,11,12.6,
Suarez, Eugenio,553993,2019,.243,.493,.351,.337,.250,89.3,17.7,13.8,
Santana, Domingo,570267,2019,.245,.468,.336,.323,.223,89,11.3,12.1,
Sanchez, Yolmer,570560,2019,.225,.308,.269,.294,.083,87.1,14.3,1,
Arenado, Nolan,571448,2019,.270,.481,.343,.341,.210,89.4,17.7,8,
Muncy, Max,571970,2019,.262,.509,.380,.384,.248,89.8,14.5,12,
Voit III, Luke,572228,2019,.247,.496,.365,.364,.249,89.7,12.7,13.2,
Walker, Christian,572233,2019,.262,.516,.364,.351,.254,91.1,14.8,13.1,
Iglesias, Jose,578428,2019,.256,.348,.276,.289,.092,84.1,7.1,2.3,
Bryant, Kris,592178,2019,.245,.459,.347,.351,.214,87.6,19.2,9.3,
Castellanos, Nick,592206,2019,.276,.534,.360,.326,.258,88.9,13.9,10.9,
Machado, Manny,592518,2019,.261,.463,.343,.340,.202,91.2,13,8,
Moran, Colin,592567,2019,.257,.432,.311,.305,.175,88.2,12.5,7.4,
Pederson, Joc,592626,2019,.246,.473,.343,.336,.227,91.2,15.6,10.3,
Realmuto, J.T.,592663,2019,.273,.468,.341,.331,.195,90.3,14.3,8.7,
Rosario, Eddie,592696,2019,.258,.490,.324,.286,.232,89.2,16.8,8.5,
Yelich, Christian,592885,2019,.313,.626,.427,.417,.313,93.3,11.3,15.8,
Merrifield, Whit,593160,2019,.274,.421,.318,.323,.147,87,15.5,4.3,
Bogaerts, Xander,593428,2019,.267,.469,.351,.349,.202,90.5,13.3,8.4,
Alberto, Hanser,593643,2019,.274,.384,.294,.299,.110,84.4,11.9,2.9,
Polanco, Jorge,593871,2019,.267,.457,.336,.333,.190,88,19.1,6.7,
Calhoun, Kole,594777,2019,.239,.467,.336,.331,.228,89.5,14.9,11.2,
Eaton, Adam,594809,2019,.252,.399,.324,.341,.147,88.9,15.3,3.8,
Profar, Jurickson,595777,2019,.241,.412,.317,.322,.171,86.6,13.9,6.2,
Baez, Javier,595879,2019,.262,.502,.333,.299,.239,91.1,7.7,12.7,
Lindor, Francisco,596019,2019,.272,.461,.332,.326,.189,91,12.3,7.5,
Odor, Rougned,596059,2019,.218,.458,.317,.295,.240,91.1,17.9,13.6,
Story, Trevor,596115,2019,.262,.471,.344,.335,.210,91,17.4,8.9,
Vogelbach, Daniel,596129,2019,.223,.438,.344,.355,.215,88.8,17.1,10.5,
Kepler, Max,596146,2019,.257,.454,.341,.341,.197,89.7,18.2,8.9,
Bradley Jr., Jackie,598265,2019,.224,.411,.314,.317,.187,90.2,9.3,9.6,
Nunez, Renato,600524,2019,.252,.470,.334,.319,.218,89.9,19.9,10.7,
Ahmed, Nick,605113,2019,.256,.426,.323,.322,.170,87.8,7.6,6.6,
Anderson, Brian,605119,2019,.253,.454,.340,.337,.200,89.9,11.1,8.9,
Bell, Josh,605137,2019,.282,.557,.383,.373,.275,92.4,13,12.7,
Betts, Mookie,605141,2019,.304,.567,.405,.402,.263,91,19.2,10.3,
Smith, Mallex,605480,2019,.199,.282,.254,.276,.082,85.2,7.3,2.2,
Arcia, Orlando,606115,2019,.219,.346,.273,.283,.127,87.9,6.6,4.3,
Marte, Ketel,606466,2019,.300,.525,.375,.363,.225,90,11.5,9.3,
Turner, Trea,607208,2019,.280,.456,.339,.338,.176,90.4,9.9,6.8,
Pillar, Kevin,607680,2019,.261,.410,.299,.292,.149,86.4,14.1,4.9,
Ramirez, Jose,608070,2019,.267,.460,.341,.340,.193,89.2,19.8,6.3,
Bregman, Alex,608324,2019,.261,.448,.370,.398,.187,89.3,19.6,4.8,
Seager, Corey,608369,2019,.254,.454,.328,.319,.200,88.8,14.3,7.3,
Reyes, Franmil,614177,2019,.262,.538,.362,.326,.276,93.3,9.5,14.8,
Swanson, Dansby,621020,2019,.271,.477,.350,.345,.206,89.9,14.4,10.1,
Newman, Kevin,621028,2019,.271,.370,.300,.318,.100,85.3,8.5,2.1,
Olson, Matt,621566,2019,.273,.568,.381,.356,.295,92.7,19.2,14.5,
Alonso, Pete,624413,2019,.253,.544,.376,.354,.291,90.7,14.8,15.8,
Conforto, Michael,624424,2019,.258,.497,.366,.367,.238,89.2,15.9,11.6,
Frazier, Adam,624428,2019,.271,.397,.314,.330,.126,87.1,13.1,1.9,
Puig, Yasiel,624577,2019,.250,.441,.322,.313,.191,90,13.8,9.2,
Soler, Jorge,624585,2019,.274,.590,.393,.362,.316,92.6,15.5,16.6,
Meadows, Austin,640457,2019,.282,.546,.375,.356,.265,90.4,16.7,12.5,
Anderson, Tim,641313,2019,.287,.456,.325,.311,.169,88.3,8.7,5.1,
Bellinger, Cody,641355,2019,.317,.634,.428,.419,.316,91.2,17.8,13,
Dozier, Hunter,641531,2019,.255,.463,.335,.327,.207,91,16.9,10,
Mancini III, Trey,641820,2019,.277,.503,.362,.353,.226,90.3,7.8,10.3,
McMahon, Ryan,641857,2019,.242,.430,.325,.323,.187,91.9,8.8,9,
Rosario, Amed,642708,2019,.280,.412,.313,.317,.132,89.3,8.8,4.2,
Adames, Willy,642715,2019,.248,.434,.318,.311,.186,88.5,10.8,8.4,
Benintendi, Andrew,643217,2019,.260,.452,.337,.338,.192,89.1,17.2,8.1,
McNeil, Jeff,643446,2019,.279,.458,.346,.350,.178,88.9,13.8,4.8,
Albies, Ozzie,645277,2019,.285,.485,.348,.343,.200,88.9,15.6,6.6,
Robles, Victor,645302,2019,.229,.365,.292,.303,.136,83.3,16.7,4.8,
Devers, Rafael,646240,2019,.293,.519,.362,.346,.226,92.5,10.5,9,
Jimenez, Eloy,650391,2019,.265,.521,.351,.315,.256,91.1,9.4,12.8,
Torres, Gleyber,650402,2019,.255,.487,.337,.317,.232,89.1,17.7,10.1,
Chapman, Matt,656305,2019,.246,.495,.354,.340,.249,92.7,16.7,12.1,
Hoskins, Rhys,656555,2019,.215,.416,.337,.357,.201,89.7,23.9,9.7,
Schwarber, Kyle,656941,2019,.263,.552,.374,.352,.289,93.5,15.5,14.5,
DeJong, Paul,657557,2019,.231,.432,.323,.318,.201,87,18.3,8.4,
Moncada, Yoan,660162,2019,.280,.516,.356,.336,.236,93.1,12.2,12.2,
Acuna Jr., Ronald,660670,2019,.279,.574,.390,.365,.294,90.6,14.2,15,
Fletcher, David,664058,2019,.288,.366,.315,.348,.078,83.8,9.9,0.2,
Guerrero Jr., Vladimir,665489,2019,.256,.436,.330,.326,.179,89.4,6.7,7.7,
Soto, Juan,665742,2019,.285,.574,.408,.404,.290,92,12.5,12.3,
Reynolds, Bryan,668804,2019,.290,.470,.355,.358,.179,89.5,9.4,6.7,
