last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Cabrera, Miguel,408234,2020,.286,.515,.375,.363,.229,93.2,12.1,36.8,9.7,
Cruz Jr., Nelson,443558,2020,.266,.540,.380,.366,.273,91.6,9.4,39.4,15,
Peralta, David,444482,2020,.258,.371,.296,.301,.114,89.2,6.4,29.4,5,
Longoria, Evan,446334,2020,.280,.522,.363,.327,.241,91.7,10.7,29.9,11.5,
Cabrera, Asdrubal,452678,2020,.242,.427,.316,.306,.185,89.5,13.7,30.5,6.5,
Blackmon, Charlie,453568,2020,.276,.429,.332,.339,.153,86.9,13.5,38.5,4.9,
Solano, Donovan,456781,2020,.276,.415,.318,.318,.139,88.5,15.5,43.4,4.6,
McCutchen, Andrew,457705,2020,.273,.479,.355,.343,.206,89.7,18.2,36.5,8.2,
Votto, Joey,458015,2020,.253,.478,.369,.377,.225,87.4,15.4,36.4,9.1,
Santana, Carlos,467793,2020,.250,.445,.369,.390,.195,88,12.2,32.3,6.7,
Brantley Jr., Michael,488726,2020,.260,.413,.325,.327,.153,88.7,10.2,34.5,4.9,
Gurriel, Yuli,493329,2020,.262,.404,.315,.311,.142,89.3,13.9,34.4,3.7,
Escobar, Eduardo,500871,2020,.261,.394,.305,.316,.132,88.6,18.1,34.8,5.5,
Martinez, J.D.,502110,2020,.229,.444,.318,.305,.216,89.5,14.7,39.6,11,
Reddick, Josh,502210,2020,.245,.358,.301,.317,.113,85.9,19.1,34.7,4.8,
Goldschmidt, Paul,502671,2020,.285,.510,.396,.403,.224,89.2,11.7,42.3,10.7,
Gonzalez, Marwin,503556,2020,.240,.401,.314,.315,.162,89.2,12.6,31.9,5.1,
Altuve, Jose,514888,2020,.229,.347,.286,.295,.118,86.7,9.3,24.8,4.6,
Hernandez, Cesar,514917,2020,.273,.396,.330,.346,.123,89.1,5.6,37.3,4,
Segura, Jean,516416,2020,.250,.391,.318,.334,.141,87.7,11.2,31.8,6.1,
Marte, Starling,516782,2020,.262,.417,.324,.323,.155,87.1,6.5,30.3,6.4,
Freeman, Freddie,518692,2020,.338,.657,.462,.459,.319,92.4,17.2,49.2,14.7,
Grandal, Yasmani,518735,2020,.207,.403,.327,.334,.196,90.3,15.6,38.1,7.6,
LeMahieu, DJ,518934,2020,.308,.453,.361,.371,.145,91.3,2.3,29.7,2.9,
Rizzo, Anthony,519203,2020,.265,.411,.353,.381,.146,87.7,16.7,34.7,7.8,
Flores, Wilmer,527038,2020,.249,.434,.312,.297,.185,87.9,19,37.4,6.1,
Garcia, Avisail,541645,2020,.244,.375,.317,.339,.131,87.4,8.7,37.1,3.8,
Ozuna, Marcell,542303,2020,.313,.635,.436,.410,.323,93,16.4,39.1,15.4,
Villar, Jonathan,542340,2020,.208,.277,.253,.279,.069,86.6,1.6,18.7,1.5,
Aguilar, Jesus,542583,2020,.271,.452,.345,.348,.182,89.3,16,37.5,7.2,
Crawford, Brandon,543063,2020,.234,.396,.307,.310,.162,88.7,12.4,35.4,9.4,
Grossman, Robbie,543257,2020,.239,.397,.326,.342,.158,89,15.2,33.6,5.5,
Hicks, Aaron,543305,2020,.254,.432,.372,.403,.178,88.2,11.1,29.8,6.9,
Rendon, Anthony,543685,2020,.286,.467,.388,.418,.181,90.1,19.5,39.2,6.3,
Semien, Marcus,543760,2020,.203,.344,.281,.287,.141,86.2,19.3,32.9,5,
Springer III, George,543807,2020,.291,.563,.402,.382,.272,88.7,18.3,35.3,12.4,
Vazquez, Christian,543877,2020,.221,.356,.284,.287,.134,88.4,14.4,33.1,4.6,
Wong, Kolten,543939,2020,.241,.311,.291,.328,.070,86.5,10.8,31.2,0.6,
Gregorius, Didi,544369,2020,.262,.394,.310,.321,.132,83.8,17.8,35.3,4.2,
Grichuk, Randal,545341,2020,.266,.463,.330,.309,.198,88.9,12.6,27.2,11.2,
Trout, Mike,545361,2020,.287,.603,.422,.400,.316,93.7,23.1,36.1,15,
Ruiz, Rio,547004,2020,.211,.354,.276,.276,.143,87.9,10.5,27.7,8.5,
Harper, Bryce,547180,2020,.308,.658,.454,.451,.350,92.5,16,33.3,17.3,
Abreu, Jose,547989,2020,.299,.587,.399,.357,.288,92.9,10.9,37.4,14.3,
Suarez, Eugenio,553993,2020,.216,.472,.342,.325,.255,89.1,17.9,29.5,14.4,
Gonzalez, Erik,570481,2020,.236,.394,.292,.274,.157,88.5,5.5,33.6,6.7,
Arenado, Nolan,571448,2020,.235,.392,.288,.289,.157,87.8,19.1,27.1,5.4,
Muncy, Max,571970,2020,.233,.477,.364,.365,.244,88.5,14.2,29,12.4,
Myers, Wil,571976,2020,.282,.584,.393,.348,.302,91,13.4,40.8,14.8,
Pollock, AJ,572041,2020,.271,.499,.346,.313,.228,89.6,13,37.9,10.5,
Seager, Kyle,572122,2020,.252,.472,.365,.371,.220,89.1,17.7,30.7,10.2,
Voit III, Luke,572228,2020,.279,.584,.388,.340,.305,88.9,15.2,37.5,13.1,
Walker, Christian,572233,2020,.264,.452,.338,.330,.188,90.4,11.5,34.5,6.4,
Dickerson, Corey,572816,2020,.253,.400,.308,.306,.147,85.7,11.1,25.8,5.7,
Yastrzemski, Mike,573262,2020,.251,.488,.364,.360,.238,88.2,18.4,35,10.9,
Contreras, Willson,575929,2020,.249,.441,.353,.361,.192,89.8,9.1,35.8,10.4,
Canha, Mark,592192,2020,.238,.411,.356,.384,.173,89.7,19.4,37.3,7.7,
Castellanos, Nick,592206,2020,.273,.542,.374,.341,.270,91,16.5,39.3,16,
Machado, Manny,592518,2020,.303,.542,.387,.374,.239,90.2,15.6,34.6,11,
Moran, Colin,592567,2020,.252,.476,.348,.331,.224,91.9,8.3,32.3,13.4,
Realmuto, J.T.,592663,2020,.246,.498,.356,.331,.252,90.2,11.6,32.8,13.6,
Rosario, Eddie,592696,2020,.244,.435,.316,.305,.191,87.5,18.1,30.3,6.2,
Yelich, Christian,592885,2020,.248,.468,.375,.391,.220,94,7.1,32.3,12.1,
Merrifield, Whit,593160,2020,.292,.439,.336,.334,.146,86.1,15.8,39.8,5.1,
Bogaerts, Xander,593428,2020,.257,.471,.340,.326,.214,89,8.7,31.3,8.6,
Alberto, Hanser,593643,2020,.244,.316,.259,.269,.072,82.3,13.2,32.6,1,
Polanco, Jorge,593871,2020,.263,.381,.304,.308,.118,86.6,16.1,39,2.8,
Sano, Miguel,593934,2020,.214,.480,.325,.287,.266,95.2,20.2,31.3,22.9,
Calhoun, Kole,594777,2020,.259,.509,.374,.366,.250,89.4,17,36.1,11.8,
Duvall, Adam,594807,2020,.227,.514,.341,.293,.286,88.1,22.9,30.7,13.9,
Profar, Jurickson,595777,2020,.279,.406,.334,.347,.127,87.2,11,35.5,3.2,
Baez, Javier,595879,2020,.215,.380,.276,.253,.165,89.4,10.3,24.8,8.1,
Lindor, Francisco,596019,2020,.278,.439,.345,.354,.162,89.9,13.5,36.5,5.6,
Story, Trevor,596115,2020,.252,.455,.334,.321,.203,89.9,20.8,40.1,8.7,
Kepler, Max,596146,2020,.256,.422,.338,.347,.166,88.5,21.9,30.9,5.1,
Franco, Maikel,596748,2020,.254,.394,.304,.302,.140,86.7,8.4,33.3,5.8,
Bradley Jr., Jackie,598265,2020,.227,.373,.306,.315,.147,88.3,4.4,29.2,7.6,
La Stella, Tommy,600303,2020,.273,.420,.347,.364,.147,88,17.1,32.1,4.8,
Nunez, Renato,600524,2020,.227,.431,.315,.298,.204,86.3,21.1,37.9,12.1,
Candelario, Jeimer,600869,2020,.276,.469,.354,.350,.193,90.2,13.3,37.5,10.3,
Ahmed, Nick,605113,2020,.244,.374,.302,.307,.129,87.7,9.4,30.1,5.2,
Anderson, Brian,605119,2020,.227,.426,.324,.321,.199,87.4,9.6,34.8,9.6,
Bell, Josh,605137,2020,.228,.381,.297,.308,.153,91.7,5.9,24.3,8.6,
Betts, Mookie,605141,2020,.281,.481,.359,.356,.200,90.7,18.5,40.1,7.7,
Davis, J.D.,605204,2020,.256,.428,.357,.379,.171,90.1,3.3,29.6,8.9,
Arcia, Orlando,606115,2020,.279,.425,.336,.337,.147,89,9.6,37.3,5.6,
Tapia, Raimel,606132,2020,.251,.331,.290,.310,.080,85.3,1.8,28.7,2,
Hernandez, Teoscar,606192,2020,.294,.611,.399,.344,.317,93.3,15.3,40.6,18,
Marte, Ketel,606466,2020,.261,.375,.301,.305,.114,89.2,10,28.8,3.7,
Nimmo, Brandon,607043,2020,.254,.425,.361,.383,.172,87.2,7.6,30.8,7.7,
Turner, Trea,607208,2020,.299,.509,.379,.365,.209,90.5,9.5,34.2,9.5,
Pillar, Kevin,607680,2020,.268,.429,.324,.317,.161,87.1,13.4,34.7,5.4,
Ramirez, Jose,608070,2020,.263,.505,.372,.361,.242,88.7,23.2,36.7,10.2,
Gallo, Joey,608336,2020,.191,.416,.315,.309,.225,91.2,26.8,28.9,14,
Seager, Corey,608369,2020,.326,.647,.428,.376,.321,93.2,11.9,38.4,15.8,
Mondesi, Adalberto,609275,2020,.214,.353,.266,.254,.140,90.6,13.7,19.9,7.3,
Reyes, Franmil,614177,2020,.245,.439,.340,.326,.194,92.4,11.2,31.3,12.9,
Swanson, Dansby,621020,2020,.266,.472,.352,.340,.206,89.1,14.7,40.7,11.4,
Taylor, Chris,621035,2020,.271,.489,.372,.367,.218,88,9.1,35.1,11.5,
Correa, Carlos,621043,2020,.254,.401,.315,.319,.147,88.6,11.4,26.8,5.9,
Olson, Matt,621566,2020,.221,.447,.336,.332,.226,92.3,19.6,30.1,12.8,
Reyes, Victor,622682,2020,.286,.428,.328,.323,.142,90,10.7,39.5,3.8,
Alonso, Pete,624413,2020,.222,.459,.330,.319,.237,90.2,15.5,30.4,12.8,
Biggio, Cavan,624415,2020,.214,.343,.315,.345,.129,87.4,16.7,31.4,5,
Conforto, Michael,624424,2020,.281,.478,.374,.377,.197,88.4,11,38.6,11,
Frazier, Adam,624428,2020,.250,.376,.307,.315,.126,85.5,12.3,34.9,4,
Cronenworth, Jake,630105,2020,.315,.532,.391,.381,.217,89.8,10.6,37.8,10.5,
Anderson, Tim,641313,2020,.291,.506,.357,.329,.214,87.2,6.7,33.3,10.1,
Bellinger, Cody,641355,2020,.280,.487,.369,.369,.207,89.3,16.6,29.2,9.4,
Crawford, J.P.,641487,2020,.254,.357,.315,.340,.102,85.8,11.5,34.1,1.8,
Dozier, Hunter,641531,2020,.233,.383,.329,.349,.149,86.4,17,26.4,8.2,
Lewis, Kyle,641786,2020,.238,.431,.343,.346,.193,88.3,11.1,37.2,11.7,
McMahon, Ryan,641857,2020,.203,.394,.298,.285,.191,90.1,9.2,27.1,11.2,
Smith, Dominic,642086,2020,.301,.563,.390,.363,.262,89.8,10.8,43,13.3,
Adames, Willy,642715,2020,.228,.392,.305,.303,.164,88.8,12.5,36.9,9.9,
Kiner-Falefa, Isiah,643396,2020,.260,.340,.294,.312,.080,87.2,0.8,22.2,2.2,
McNeil, Jeff,643446,2020,.276,.405,.335,.354,.129,86.6,11.5,37,2.5,
Robles, Victor,645302,2020,.205,.280,.262,.284,.075,82.2,19,37.3,1.7,
Devers, Rafael,646240,2020,.255,.458,.327,.303,.204,93,10.6,33.3,12.1,
Jimenez, Eloy,650391,2020,.282,.544,.368,.321,.261,92.4,5.7,32.9,16.5,
Schwarber, Kyle,656941,2020,.220,.434,.335,.335,.214,92.8,8.8,28.8,11.2,
Verdugo, Alex,657077,2020,.238,.369,.299,.305,.132,87,5.9,31.2,6.4,
White, Evan,657108,2020,.190,.387,.292,.269,.197,91.7,13.7,27.3,14.1,
Laureano, Ramon,657656,2020,.230,.403,.338,.353,.173,87.7,12.3,34.4,9.4,
Moncada, Yoan,660162,2020,.206,.334,.289,.305,.128,87.8,13.9,33.8,6.2,
Acuna Jr., Ronald,660670,2020,.254,.596,.421,.409,.341,92.4,18.6,34,16,
Riley, Austin,663586,2020,.258,.463,.334,.318,.206,91,13.6,30.7,10,
Tucker, Kyle,663656,2020,.265,.454,.331,.322,.189,91.1,14.9,34.1,9.1,
Grisham, Trent,663757,2020,.265,.482,.368,.365,.217,88.3,13.5,37.9,11.1,
Happ, Ian,664023,2020,.258,.464,.359,.362,.206,91.1,9,37.5,10.3,
Lowe, Brandon,664040,2020,.261,.550,.383,.355,.289,89.8,18.1,37.2,17.5,
Fletcher, David,664058,2020,.292,.351,.316,.352,.059,84.7,4.1,30.8,0.5,
Tatis Jr., Fernando,665487,2020,.297,.614,.422,.386,.317,95.9,8.7,32.3,19.5,
Guerrero Jr., Vladimir,665489,2020,.260,.437,.331,.327,.177,92.5,4.6,29.5,8.7,
Soto, Juan,665742,2020,.332,.696,.475,.475,.363,92.1,4.3,33.3,18.3,
Gurriel Jr., Lourdes,666971,2020,.280,.484,.345,.323,.204,90.8,10.5,39.5,11.7,
Reynolds, Bryan,668804,2020,.228,.403,.314,.310,.175,87.5,10.2,35.2,10.2,
Edman, Tommy,669242,2020,.265,.366,.313,.333,.101,86.5,8.2,31,3.8,
Solak, Nick,669256,2020,.264,.388,.318,.326,.124,89.9,9.4,27.5,4.7,
Hiura, Keston,669374,2020,.209,.433,.317,.298,.224,87.4,14.3,34.3,14.2,
Lopez, Nicky,670032,2020,.238,.308,.287,.319,.070,84.9,1.4,30.5,1.5,
Robert, Luis,673357,2020,.223,.462,.326,.296,.238,87.9,16.7,36.6,13,
