,pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,game_type,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,inning,vx0,vy0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis,delta_home_win_exp,delta_run_exp
11575,FF,90.0,1.26,6.16,"Kershaw, Clayton",4.0,R,R,L,X,2,1,-0.32,1.59,-0.56,2.35,4,-3.8567771529599,-130.9493956711726,-2.8730577255745544,27.050114957587805,-12.588795081012886,3.19,1.53,90.0,2526.0,6.3,54.23,34,4,4-Seam Fastball,176.0,0.0279999999999999,-0.355
11576,FF,90.4,1.43,6.13,"Kershaw, Clayton",6.0,R,R,L,S,2,0,-0.2,1.49,0.63,2.66,4,-1.5893226319408948,-131.6361924753972,-1.9290072423726443,28.007695098365087,-13.788573502797568,3.19,1.53,90.4,2454.0,6.3,54.25,34,3,4-Seam Fastball,174.0,0.0,-0.078
11577,SL,88.0,1.38,6.12,"Kershaw, Clayton",13.0,R,R,L,B,1,0,-0.43,0.74,-0.83,0.07,4,-4.447717600287847,-127.80761365674292,-3.877794622409024,25.22774725923769,-22.19136376653893,3.19,1.53,87.9,2665.0,6.3,54.23,34,2,Slider,199.0,0.0,0.061
11578,FF,90.2,1.42,6.09,"Kershaw, Clayton",14.0,R,R,L,B,0,0,-0.4,1.65,0.25,1.06,4,-2.0492584648765058,-131.03224715289647,-4.190430189647136,28.299465880938182,-11.207077014260348,3.06,1.53,90.3,2498.0,6.5,54.04,34,1,4-Seam Fastball,177.0,0.0,0.04
11579,CU,72.9,1.01,6.4,"Kershaw, Clayton",6.0,R,R,L,S,2,2,-0.2,-1.44,0.68,2.18,4,-0.3181589798572801,-106.12608222006342,-1.4239585052547097,20.19354282750176,-43.43862569575926,3.23,1.52,72.6,2496.0,6.3,54.24,33,8,Curveball,342.0,0.026,-0.286
11580,SL,86.4,1.39,6.23,"Kershaw, Clayton",5.0,R,R,L,S,2,2,-0.5,0.44,-0.15,2.43,4,-2.6449654217658387,-125.8315231597646,-4.86594669011532,23.69029943338663,-26.927402970677463,3.23,1.52,86.7,2560.0,6.3,54.21,33,7,Slider,220.0,0.0,0.0
11581,FF,90.5,1.33,6.2,"Kershaw, Clayton",5.0,R,R,L,S,2,2,-0.16,1.53,0.2,2.1,4,-2.4632197647952903,-131.61138596972387,-1.3894700872512702,27.527655012115847,-12.964300461562598,3.23,1.52,90.3,2412.0,6.2,54.34,33,6,4-Seam Fastball,174.0,0.0,0.0
11582,SL,86.4,1.29,6.21,"Kershaw, Clayton",13.0,R,R,L,B,1,2,-0.48,0.83,-0.49,0.34,4,-3.2772956620979627,-125.61182869588204,-4.414693249988032,24.527146742543135,-21.67613458801065,3.23,1.52,86.4,2651.0,6.3,54.22,33,5,Slider,213.0,0.0,0.026
11583,CU,72.8,1.02,6.32,"Kershaw, Clayton",13.0,R,R,L,S,1,2,-0.6,-1.49,-0.05,1.1,4,-1.1111303630087106,-105.98015999383531,-4.26361069843162,19.51401627843543,-43.455602246386825,3.23,1.52,72.6,2632.0,6.3,54.23,33,4,Curveball,340.0,0.0,0.0
11584,SL,86.4,1.33,6.19,"Kershaw, Clayton",13.0,R,R,L,B,0,2,-0.5,0.73,-0.24,1.0,4,-2.7314285666919367,-125.72124357627744,-4.828775583919528,23.75935734783123,-23.11379205440981,3.23,1.52,86.8,2692.0,6.4,54.09,33,3,Slider,204.0,0.0,0.003
