,pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,game_type,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,inning,vx0,vy0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis,delta_home_win_exp,delta_run_exp
13042,SL,84.8,-1.44,6.25,"Lamet, Dinelson",14.0,R,R,R,B,0,0,0.0,0.21,1.57,1.35,4,7.030833700658481,-123.3543477225041,-1.331273612615717,24.04113246281611,-29.173679780817128,3.64,1.74,84.9,2551.0,6.3,54.16,27,1,Slider,63.0,0.0,0.04
13043,SL,85.4,-1.34,6.23,"Lamet, Dinelson",9.0,R,R,R,X,3,2,-0.15,0.33,0.57,1.57,4,4.791514178052314,-124.30189879311806,-2.451628489353296,23.31059246179168,-27.922957130044622,3.2,1.61,85.5,2341.0,6.2,54.3,26,6,Slider,127.0,-0.038,-0.611
13044,FF,95.3,-1.18,6.21,"Lamet, Dinelson",12.0,R,R,R,B,2,2,-0.72,1.5,1.34,2.71,4,8.201042747729412,-138.55316422181863,-11.030180815065238,29.18109101700271,-11.479386923752894,3.44,1.62,95.0,2413.0,6.0,54.47,26,5,4-Seam Fastball,203.0,0.0,0.131
13045,SL,84.3,-1.3,6.32,"Lamet, Dinelson",14.0,R,R,R,B,1,2,0.13,0.23,0.78,-0.04,4,4.565520440845052,-122.50316248250716,0.3508747225091996,25.25535325852488,-28.25988551989159,3.2,1.48,84.0,2648.0,6.2,54.25,26,4,Slider,63.0,0.0,0.043
13046,SL,81.1,-1.38,6.36,"Lamet, Dinelson",6.0,R,R,R,S,1,1,0.89,0.12,0.58,2.67,4,2.6706143873563875,-118.02840442157792,7.651781017235187,24.721629822162388,-30.903809431420587,3.2,1.61,80.7,2461.0,6.2,54.28,26,3,Slider,49.0,0.0,-0.098
13047,FF,95.7,-1.14,6.22,"Lamet, Dinelson",14.0,R,R,R,B,0,1,-0.75,1.46,1.46,1.96,4,8.531177034114585,-138.92638100453044,-11.60538440159513,29.94296196577826,-11.462781915660331,3.37,1.59,95.5,2417.0,6.2,54.25,26,2,4-Seam Fastball,209.0,0.0,0.074
13048,SL,84.6,-1.39,6.25,"Lamet, Dinelson",6.0,R,R,R,S,0,0,0.54,0.08,0.68,2.71,4,3.7438101130019903,-123.05087603066065,4.519016772020558,28.136578141381182,-31.13737339315435,3.32,1.55,83.7,2512.0,6.1,54.43,26,1,Slider,45.0,0.0,-0.078
13049,SL,87.0,-1.31,6.19,"Lamet, Dinelson",14.0,R,L,R,B,3,2,0.19,0.44,1.51,1.94,4,6.335133343349649,-126.53464394269986,0.6304813805154842,27.736179728269768,-26.673599044602323,3.2,1.49,86.2,2422.0,6.0,54.5,25,7,Slider,178.0,-0.053,0.363
13050,SL,87.0,-1.34,6.14,"Lamet, Dinelson",11.0,R,L,R,S,3,2,0.11,0.36,-0.25,3.35,4,2.383029206207235,-126.80152627199122,0.7723436111285888,24.807760383325714,-28.181822658521103,3.2,1.55,87.0,2342.0,6.1,54.42,25,6,Slider,165.0,0.0,0.0
13051,SL,85.9,-1.43,6.23,"Lamet, Dinelson",1.0,R,L,R,S,3,1,0.57,0.7,-0.79,3.16,4,0.3794296939525755,-125.11896943298416,5.904210930617857,24.46560358020952,-24.473036069023088,3.2,1.47,85.7,2366.0,6.1,54.43,25,5,Slider,142.0,0.0,-0.127
