,release_speed,zone,type,balls,strikes,inning,release_spin_rate,release_extension,pitch_number,pitch_type_CH,pitch_type_CS,pitch_type_CU,pitch_type_EP,pitch_type_FA,pitch_type_FC,pitch_type_FF,pitch_type_FO,pitch_type_FS,pitch_type_FT,pitch_type_KC,pitch_type_KN,pitch_type_SI,pitch_type_SL,pitch_type_nan,stand_R,p_throws_L,p_throws_R,player_name
8353,92.3,14.0,S,2,2,7,2471.0,5.7,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"Buehler, Walker"
8354,81.1,12.0,B,0,2,9,2421.0,6.7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,"Buehler, Walker"
8354,92.1,11.0,B,1,2,7,2561.0,5.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,"Buehler, Walker"
8355,96.6,5.0,S,0,2,9,2112.0,7.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"Buehler, Walker"
8355,81.0,2.0,S,1,2,7,2942.0,5.6,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"Buehler, Walker"
8356,95.2,4.0,S,0,1,9,2081.0,6.8,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"Buehler, Walker"
8356,92.7,6.0,S,1,1,7,2381.0,5.8,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"Buehler, Walker"
8357,95.3,12.0,S,0,0,9,2040.0,6.9,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"Buehler, Walker"
8357,90.9,14.0,S,1,0,7,2403.0,5.8,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"Buehler, Walker"
8358,95.4,6.0,X,3,2,9,1741.0,6.8,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8358,80.5,13.0,B,0,0,7,2853.0,5.2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8359,95.6,11.0,S,3,2,9,2126.0,7.0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8359,81.3,4.0,X,2,2,7,2947.0,5.0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8360,95.7,1.0,S,3,2,9,2059.0,7.1,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8360,92.5,5.0,S,2,1,7,2485.0,5.6,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8361,82.2,13.0,B,2,2,9,2472.0,6.7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8361,91.0,4.0,S,2,0,7,2357.0,5.6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8362,82.6,13.0,B,1,2,9,2552.0,6.7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8362,79.9,11.0,B,1,0,7,2759.0,4.7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8363,82.1,13.0,B,0,2,9,2512.0,6.8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8363,80.2,13.0,B,0,0,7,2780.0,4.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8364,95.1,11.0,S,0,1,9,2018.0,7.2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8364,87.6,12.0,S,1,2,7,2630.0,5.3,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8365,94.9,1.0,S,0,0,9,2051.0,6.9,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8365,79.6,8.0,S,1,1,7,2734.0,5.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8374,82.5,11.0,S,1,2,6,2591.0,5.8,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8375,88.6,12.0,S,0,0,9,2004.0,6.5,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8375,95.0,2.0,S,1,2,6,2538.0,6.4,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Buehler, Walker"
8376,89.9,6.0,X,0,1,9,2173.0,6.5,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"Buehler, Walker"
8376,90.4,6.0,S,1,1,6,2566.0,6.2,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"Buehler, Walker"
8377,78.1,13.0,S,0,0,9,1809.0,6.5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"Buehler, Walker"
8377,94.5,12.0,B,0,1,6,2532.0,6.6,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"Buehler, Walker"
8378,96.9,7.0,X,1,1,8,2320.0,6.7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"Buehler, Walker"
8378,89.9,12.0,S,0,0,6,2531.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"Buehler, Walker"
8379,85.9,4.0,S,1,0,8,1707.0,6.8,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Buehler, Walker"
8379,94.0,11.0,X,1,0,6,2525.0,6.5,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Buehler, Walker"
8385,85.6,14.0,B,3,2,6,2711.0,5.9,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Buehler, Walker"
8386,94.6,13.0,B,0,0,8,2184.0,6.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"Buehler, Walker"
8386,91.1,14.0,S,3,2,6,2695.0,6.2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"Buehler, Walker"
8387,94.7,11.0,B,3,0,8,2085.0,6.6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"Buehler, Walker"
8387,94.2,12.0,B,2,2,6,2462.0,6.6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"Buehler, Walker"
8388,97.1,11.0,B,2,0,8,2172.0,6.6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"Buehler, Walker"
8388,91.4,12.0,S,2,2,6,2710.0,6.2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"Buehler, Walker"
8389,89.0,14.0,B,1,0,8,1734.0,6.9,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Buehler, Walker"
8389,94.6,11.0,S,2,1,6,2378.0,6.2,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Buehler, Walker"
